Come from Fsharp
2014-02-21 11:50:34 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0025005
2014-02-21 11:51:14 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:51:54 200 accounts make orders to MockOrder, cost time: max=0, min=0, average=0
2014-02-21 11:52:34 200 accounts make orders to MockOrder, cost time: max=0.5001, min=0, average=0.0025005
2014-02-21 11:58:11 200 accounts make orders to TraderServer, cost time: max=353.5449, min=14.5018, average=75.3295645, total=15065.9129
2014-02-21 11:58:51 200 accounts make orders to TraderServer, cost time: max=180.5229, min=14.0018, average=46.3433815, total=9268.6763
2014-02-21 11:59:31 200 accounts make orders to TraderServer, cost time: max=253.0321, min=14.0017, average=55.3895354999999, total=11077.9071
2014-02-21 12:00:59 200 accounts make orders to TraderServer, cost time: max=231.0293, min=14.5019, average=45.990838, total=9198.1676
2014-02-21 12:01:39 200 accounts make orders to TraderServer, cost time: max=276.5351, min=13.5017, average=50.2663845, total=10053.2769
2014-02-21 12:02:19 200 accounts make orders to TraderServer, cost time: max=170.5216, min=13.5017, average=46.3383825, total=9267.6765
2014-02-21 12:02:59 200 accounts make orders to TraderServer, cost time: max=202.0256, min=15.0019, average=51.346516, total=10269.3032
2014-02-21 12:03:39 200 accounts make orders to TraderServer, cost time: max=218.5278, min=14.0017, average=49.8513295, total=9970.2659
2014-02-21 12:04:19 200 accounts make orders to TraderServer, cost time: max=287.0365, min=14.0018, average=39.4675115, total=7893.5023
2014-02-21 12:04:59 200 accounts make orders to TraderServer, cost time: max=136.0173, min=14.5018, average=40.100088, total=8020.0176
2014-02-21 12:05:39 200 accounts make orders to TraderServer, cost time: max=144.5183, min=13.5017, average=40.6426585, total=8128.5317
2014-02-21 12:06:19 200 accounts make orders to TraderServer, cost time: max=144.5184, min=13.5017, average=46.0908475, total=9218.1695
2014-02-21 12:06:59 200 accounts make orders to TraderServer, cost time: max=304.0386, min=14.5018, average=60.0776295, total=12015.5259
2014-02-21 12:07:39 200 accounts make orders to TraderServer, cost time: max=191.5244, min=13.0017, average=45.728305, total=9145.661
2014-02-21 12:08:19 200 accounts make orders to TraderServer, cost time: max=367.5467, min=13.5017, average=55.549558, total=11109.9116
2014-02-21 12:08:59 200 accounts make orders to TraderServer, cost time: max=327.5415, min=14.5018, average=52.0916115, total=10418.3223
2014-02-21 12:09:39 200 accounts make orders to TraderServer, cost time: max=170.5216, min=13.0017, average=47.908584, total=9581.7168
2014-02-21 12:10:19 200 accounts make orders to TraderServer, cost time: max=151.0191, min=15.0019, average=47.318508, total=9463.7016
2014-02-21 12:10:59 200 accounts make orders to TraderServer, cost time: max=160.5204, min=14.0017, average=46.238369, total=9247.6738
2014-02-21 12:11:39 200 accounts make orders to TraderServer, cost time: max=1071.136, min=12.5016, average=221.095576, total=44219.1152
2014-02-21 12:12:19 200 accounts make orders to TraderServer, cost time: max=166.021, min=12.5016, average=41.347751, total=8269.5502
2014-02-21 12:12:59 200 accounts make orders to TraderServer, cost time: max=267.534, min=13.5017, average=76.7472449999999, total=15349.449
2014-02-21 12:13:39 200 accounts make orders to TraderServer, cost time: max=278.0354, min=14.5019, average=51.4690395, total=10293.8079
2014-02-21 12:14:19 200 accounts make orders to TraderServer, cost time: max=211.0268, min=14.5018, average=66.645963, total=13329.1926
2014-02-21 12:14:59 200 accounts make orders to TraderServer, cost time: max=164.5209, min=14.0017, average=48.1061105, total=9621.2221
2014-02-21 12:15:39 200 accounts make orders to TraderServer, cost time: max=184.0234, min=14.0017, average=40.985203, total=8197.04059999999
2014-02-21 12:16:19 200 accounts make orders to TraderServer, cost time: max=143.0182, min=13.0016, average=42.057845, total=8411.569
2014-02-21 12:16:59 200 accounts make orders to TraderServer, cost time: max=147.0186, min=13.0016, average=41.045204, total=8209.0408
2014-02-21 12:17:39 200 accounts make orders to TraderServer, cost time: max=154.0196, min=14.0018, average=48.431144, total=9686.2288
2014-02-21 12:18:19 200 accounts make orders to TraderServer, cost time: max=229.5292, min=13.0017, average=52.166618, total=10433.3236
2014-02-21 12:18:59 200 accounts make orders to TraderServer, cost time: max=134.017, min=13.0016, average=44.7381845, total=8947.63690000001
2014-02-21 12:19:39 200 accounts make orders to TraderServer, cost time: max=593.0753, min=13.5017, average=57.904854, total=11580.9708
2014-02-21 12:20:19 200 accounts make orders to TraderServer, cost time: max=237.5301, min=14.0018, average=53.466789, total=10693.3578
2014-02-21 12:20:59 200 accounts make orders to TraderServer, cost time: max=1001.1272, min=16.002, average=218.317721, total=43663.5442
2014-02-21 12:21:39 200 accounts make orders to TraderServer, cost time: max=334.5425, min=13.5017, average=47.606049, total=9521.2098
2014-02-21 12:22:19 200 accounts make orders to TraderServer, cost time: max=380.0482, min=14.0017, average=50.918963, total=10183.7926
2014-02-21 12:22:59 200 accounts make orders to TraderServer, cost time: max=135.0172, min=14.0018, average=39.3399955, total=7867.9991
2014-02-21 12:23:39 200 accounts make orders to TraderServer, cost time: max=189.024, min=13.5017, average=41.8428145, total=8368.56290000001
2014-02-21 12:24:19 200 accounts make orders to TraderServer, cost time: max=192.5244, min=14.5018, average=46.105854, total=9221.1708
2014-02-21 12:24:59 200 accounts make orders to TraderServer, cost time: max=178.0227, min=13.5017, average=38.4623815, total=7692.47630000001
2014-02-21 12:25:39 200 accounts make orders to TraderServer, cost time: max=196.5249, min=14.0018, average=49.7738165, total=9954.7633
2014-02-21 12:26:19 200 accounts make orders to TraderServer, cost time: max=441.5561, min=14.0017, average=45.385766, total=9077.15320000001
2014-02-21 12:26:59 200 accounts make orders to TraderServer, cost time: max=176.0224, min=14.5018, average=43.365504, total=8673.1008
2014-02-21 12:27:39 200 accounts make orders to TraderServer, cost time: max=153.0194, min=14.0018, average=51.088989, total=10217.7978
2014-02-21 12:28:19 200 accounts make orders to TraderServer, cost time: max=264.0335, min=13.0016, average=51.4615245, total=10292.3049
2014-02-21 12:28:59 200 accounts make orders to TraderServer, cost time: max=177.5226, min=12.5016, average=51.521547, total=10304.3094
2014-02-21 12:29:39 200 accounts make orders to TraderServer, cost time: max=153.0195, min=13.5018, average=42.30037, total=8460.074
2014-02-21 12:30:19 200 accounts make orders to TraderServer, cost time: max=325.0413, min=14.5019, average=48.7061825, total=9741.2365
2014-02-21 12:30:59 200 accounts make orders to TraderServer, cost time: max=142.5181, min=13.5017, average=43.2004865, total=8640.0973
2014-02-21 12:31:39 200 accounts make orders to TraderServer, cost time: max=133.5169, min=14.0017, average=37.597277, total=7519.45540000001
2014-02-21 12:32:19 200 accounts make orders to TraderServer, cost time: max=168.0213, min=12.5016, average=48.0010945, total=9600.2189
2014-02-21 12:32:59 200 accounts make orders to TraderServer, cost time: max=206.0261, min=14.0018, average=45.4032625, total=9080.6525
2014-02-21 12:33:39 200 accounts make orders to TraderServer, cost time: max=301.5382, min=13.5017, average=50.616433, total=10123.2866
2014-02-21 12:34:19 200 accounts make orders to TraderServer, cost time: max=261.5332, min=13.5017, average=44.82819, total=8965.638
2014-02-21 12:34:59 200 accounts make orders to TraderServer, cost time: max=235.5299, min=14.0017, average=46.798438, total=9359.6876
2014-02-21 12:35:39 200 accounts make orders to TraderServer, cost time: max=145.5185, min=13.5017, average=37.9148165, total=7582.9633
2014-02-21 12:36:19 200 accounts make orders to TraderServer, cost time: max=133.517, min=13.0016, average=35.381992, total=7076.3984
2014-02-21 12:36:59 200 accounts make orders to TraderServer, cost time: max=1027.6305, min=13.5017, average=78.504976, total=15700.9952
2014-02-21 12:37:39 200 accounts make orders to TraderServer, cost time: max=326.0414, min=13.0016, average=55.5495555, total=11109.9111
2014-02-21 12:38:19 200 accounts make orders to TraderServer, cost time: max=131.5167, min=13.0017, average=42.050338, total=8410.06760000001
2014-02-21 12:38:59 200 accounts make orders to TraderServer, cost time: max=285.5363, min=13.5017, average=55.407036, total=11081.4072
